season,age,team_id,lg_id,pos,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
2009-10,21,GSW,NBA,PG,80,77,36.2,6.6,14.3,.462,2.1,4.8,.437,4.5,9.5,.474,.535,2.2,2.5,.885,0.6,3.9,4.5,5.9,1.9,0.2,3.0,3.2,17.5
2010-11,22,GSW,NBA,PG,74,74,33.6,6.8,14.2,.480,2.0,4.6,.442,4.8,9.6,.498,.551,2.9,3.1,.934,0.7,3.2,3.9,5.8,1.5,0.3,3.1,3.1,18.6
2011-12,23,GSW,NBA,PG,26,23,28.2,5.6,11.4,.490,2.1,4.7,.455,3.5,6.7,.514,.583,1.5,1.8,.809,0.6,2.8,3.4,5.3,1.5,0.3,2.5,2.4,14.7
2012-13,24,GSW,NBA,PG,78,78,38.2,8.0,17.8,.451,3.5,7.7,.453,4.5,10.1,.449,.549,3.4,3.7,.900,0.8,3.3,4.0,6.9,1.6,0.2,3.1,2.5,22.9
2013-14,25,GSW,NBA,PG,78,78,36.5,8.4,17.7,.471,3.3,7.9,.424,5.0,9.8,.509,.566,3.9,4.5,.885,0.6,3.7,4.3,8.5,1.6,0.2,3.8,2.5,24.0
2014-15,26,GSW,NBA,PG,80,80,32.7,8.2,16.8,.487,3.6,8.1,.443,4.6,8.7,.528,.594,3.9,4.2,.914,0.7,3.6,4.3,7.7,2.0,0.2,3.1,2.0,23.8
2015-16,27,GSW,NBA,PG,79,79,34.2,10.2,20.2,.504,5.1,11.2,.454,5.1,9.0,.566,.630,4.6,5.1,.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2.0,30.1
2016-17,28,GSW,NBA,PG,79,79,33.4,8.5,18.3,.468,4.1,10.0,.411,4.4,8.3,.537,.580,4.1,4.6,.898,0.8,3.7,4.5,6.6,1.8,0.2,3.0,2.3,25.3
2017-18,29,GSW,NBA,PG,51,51,32.0,8.4,16.9,.495,4.2,9.8,.423,4.2,7.1,.595,.618,5.5,5.9,.921,0.7,4.4,5.1,6.1,1.6,0.2,3.0,2.2,26.4
2018-19,30,GSW,NBA,PG,69,69,33.8,9.2,19.4,.472,5.1,11.7,.437,4.0,7.7,.525,.604,3.8,4.2,.916,0.7,4.7,5.3,5.2,1.3,0.4,2.8,2.4,27.3
2019-20,31,GSW,NBA,PG,5,5,27.8,6.6,16.4,.402,2.4,9.8,.245,4.2,6.6,.636,.476,5.2,5.2,1.000,0.8,4.4,5.2,6.6,1.0,0.4,3.2,2.2,20.8
